Cell ID,mito count per cell
35270,5
21283,5
48975,5
53270,5
39674,5
20216,5
36980,5
47442,5
40114,5
31697,5
40994,5
31765,5
6766,5
45015,5
39113,5
32423,5
47882,5
50581,5
48688,5
29238,5
52256,5
27420,5
38551,5
32364,5
31430,5
50383,5
53059,5
48422,5
32867,5
40483,5
13828,5
51114,5
34777,5
35881,5
54058,5
51392,5
37766,5
47016,5
18949,5
9479,5
15838,5
38793,5
33374,5
32465,5
51672,5
43486,5
20505,5
41784,5
44254,5
5002,5
35763,5
32335,5
18081,5
33275,5
46277,5
35566,5
16014,5
29154,5
24527,5
14971,5
39962,5
33740,5
14438,5
38722,5
6795,5
39471,5
53482,5
15153,5
40854,5
33438,5
25209,5
38126,5
46599,5
13827,5
34333,5
33117,5
4291,5
21836,5
43331,5
35521,5
43962,5
49516,5
49781,5
44126,5
44070,5
22295,5
49038,5
39566,5
41012,5
46527,5
42971,5
48452,5
43179,5
28820,5
16181,5
36110,5
39534,5
34920,5
29995,5
51979,5
37909,5
32450,5
35597,5
51064,5
37107,5
23584,5
30346,5
51752,5
45148,5
28247,5
48485,5
14745,5
34496,5
19118,5
32713,5
39204,5
52061,5
49219,5
53741,5
46984,5
34086,5
33114,5
15643,5
29170,5
14324,5
49426,5
20141,5
31329,5
38939,5
36637,5
49679,5
17790,5
37578,5
38435,5
52485,5
32208,5
33216,5
25343,5
965,5
31354,5
39162,5
21921,5
29840,5
16133,5
37757,5
1635,5
47679,5
38390,5
13049,5
39437,5
44940,5
49451,5
32029,5
43315,5
39937,5
52303,5
39838,5
46491,5
43912,5
35134,5
2264,5
32719,5
46517,5
29031,5
22589,5
46079,5
16261,5
28596,5
51172,5
19913,5
43884,5
19315,5
29974,5
50996,5
13974,5
31831,5
20809,5
34109,5
3825,5
33042,5
21831,5
20447,5
32005,5
35552,5
40855,5
54103,5
27720,5
33257,5
36084,5
39507,5
19258,5
28236,5
617,5
45234,5
44168,5
29972,5
33561,5
23148,5
